	Axis1	Axis2	Group	Study
HLH16	-0.138381069	0.122414885	LA	Study5
HLH17	-0.278158546	0.058420322	LA	Study5
HLH18	-0.545984586	-0.111783368	LA	Study5
HLH19	-0.062548919	0.129625362	LA	Study5
HLH2	-0.42344102	-0.061865549	LA	Study5
HLH20	-0.155055133	0.115155243	LA	Study5
HLH21	0.040965628	-0.056644775	LA	Study5
HLH22	-0.077587526	0.182294778	LA	Study5
HLH23	-0.111927404	0.190715431	LA	Study5
HLH24	-0.534480619	-0.078010558	LA	Study5
HLH25	-0.022413851	0.127732673	LA	Study5
HLH26	-0.099081153	0.168685349	LA	Study5
HLH27	-0.555156853	-0.038240956	LA	Study5
HLH28	0.037249238	0.171126857	LA	Study5
HLH29	-0.098331134	0.051412623	LA	Study5
HLH3	0.027707798	0.163087552	LA	Study5
HLH30	-0.257319176	-0.016408075	LA	Study5
HLH31	0.035868	0.120960841	LA	Study5
HLH32	-0.27775068	0.111633148	LA	Study5
HLH33	0.067988905	0.176338436	LA	Study5
HLH34	-0.22976244	0.135779661	LA	Study5
HLH35	0.140804805	0.16596618	LA	Study5
HLH4	-0.111855768	0.052094438	LA	Study5
HLH5	0.227169613	-0.037491327	LA	Study5
HLH6	0.014157233	0.2440443	LA	Study5
HLH7	-0.40890284	-0.047661305	LA	Study5
HLH8	0.004116199	0.235279804	LA	Study5
HLH9	-0.317800679	-0.087237517	LA	Study5
IHT1	0.055098029	0.095747294	HT	Study6
IHT10	0.156029595	0.171633347	HT	Study6
IHT11	0.113386659	-0.060858109	HT	Study6
IHT12	0.144638631	0.043754754	HT	Study6
IHT13	-0.162384437	-0.065498749	HT	Study6
IHT14	-0.139663946	0.081865908	HT	Study6
IHT15	0.11256165	0.161472535	HT	Study6
IHT16	0.046806732	0.137965411	HT	Study6
IHT17	0.148597797	-0.154199487	HT	Study6
IHT18	-0.28203394	0.057147532	HT	Study6
IHT19	0.128605424	0.071815989	HT	Study6
IHT2	0.088159028	-0.038565437	HT	Study6
IHT20	-0.361373492	-0.041018531	HT	Study6
IHT21	-0.127296102	-0.006020673	HT	Study6
IHT22	-0.451176229	0.086284584	HT	Study6
IHT23	0.126755503	0.129417701	HT	Study6
IHT24	0.094049068	0.113138291	HT	Study6
IHT25	0.197765942	-0.054324395	HT	Study6
IHT26	0.03392487	0.055556542	HT	Study6
IHT27	0.000167935	0.083499786	HT	Study6
IHT28	0.215544178	-0.038623711	HT	Study6
IHT29	-0.004120745	0.229175057	HT	Study6
IHT3	0.0930115	0.288443203	HT	Study6
IHT30	-0.154092564	0.14238701	HT	Study6
IHT4	0.098790444	-0.004835538	HT	Study6
IHT5	0.119639334	-0.03089899	HT	Study6
IHT6	0.098301717	-0.071788996	HT	Study6
IHT7	-0.026171642	-0.046942044	HT	Study6
IHT8	0.117947916	-0.105145923	HT	Study6
IHT9	-0.206838357	-0.037755736	HT	Study6
ILH1	0.11959631	0.298333112	LA	Study6
ILH10	0.096523275	0.086973757	LA	Study6
ILH11	-0.080830721	0.042919989	LA	Study6
ILH12	-0.251121703	0.145926909	LA	Study6
ILH13	-0.435565869	-0.056814064	LA	Study6
ILH14	-0.249330075	0.170032627	LA	Study6
ILH15	-0.243194243	-0.112294804	LA	Study6
ILH16	0.100756535	0.182928211	LA	Study6
ILH17	-0.138988356	-0.041397285	LA	Study6
